Ausspielung,Datum,Spiel01_Tendenz1,Spiel01_Tendenz0,Spiel01_Tendenz2,Spiel02_Tendenz1,Spiel02_Tendenz0,Spiel02_Tendenz2,Spiel03_Tendenz1,Spiel03_Tendenz0,Spiel03_Tendenz2,Spiel04_Tendenz1,Spiel04_Tendenz0,Spiel04_Tendenz2,Spiel05_Tendenz1,Spiel05_Tendenz0,Spiel05_Tendenz2,Spiel06_Tendenz1,Spiel06_Tendenz0,Spiel06_Tendenz2,Spiel07_Tendenz1,Spiel07_Tendenz0,Spiel07_Tendenz2,Spiel08_Tendenz1,Spiel08_Tendenz0,Spiel08_Tendenz2,Spiel09_Tendenz1,Spiel09_Tendenz0,Spiel09_Tendenz2,Spiel10_Tendenz1,Spiel10_Tendenz0,Spiel10_Tendenz2,Spiel11_Tendenz1,Spiel11_Tendenz0,Spiel11_Tendenz2,Spiel12_Tendenz1,Spiel12_Tendenz0,Spiel12_Tendenz2,Spiel13_Tendenz1,Spiel13_Tendenz0,Spiel13_Tendenz2,Spiel01_Bookie1,Spiel01_Bookie0,Spiel01_Bookie2,Spiel02_Bookie1,Spiel02_Bookie0,Spiel02_Bookie2,Spiel03_Bookie1,Spiel03_Bookie0,Spiel03_Bookie2,Spiel04_Bookie1,Spiel04_Bookie0,Spiel04_Bookie2,Spiel05_Bookie1,Spiel05_Bookie0,Spiel05_Bookie2,Spiel06_Bookie1,Spiel06_Bookie0,Spiel06_Bookie2,Spiel07_Bookie1,Spiel07_Bookie0,Spiel07_Bookie2,Spiel08_Bookie1,Spiel08_Bookie0,Spiel08_Bookie2,Spiel09_Bookie1,Spiel09_Bookie0,Spiel09_Bookie2,Spiel10_Bookie1,Spiel10_Bookie0,Spiel10_Bookie2,Spiel11_Bookie1,Spiel11_Bookie0,Spiel11_Bookie2,Spiel12_Bookie1,Spiel12_Bookie0,Spiel12_Bookie2,Spiel13_Bookie1,Spiel13_Bookie0,Spiel13_Bookie2,Spiel01_Resultat,Spiel02_Resultat,Spiel03_Resultat,Spiel04_Resultat,Spiel05_Resultat,Spiel06_Resultat,Spiel07_Resultat,Spiel08_Resultat,Spiel09_Resultat,Spiel10_Resultat,Spiel11_Resultat,Spiel12_Resultat,Spiel13_Resultat,Spieleinsatz,Anzahl Klasse 1,Quote Klasse 1,Anzahl Klasse 2,Quote Klasse 2,Anzahl Klasse 3,Quote Klasse 3,Anzahl Klasse 4,Quote Klasse 4,Spiel01_Heim,Spiel01_Auswärts,Spiel02_Heim,Spiel02_Auswärts,Spiel03_Heim,Spiel03_Auswärts,Spiel04_Heim,Spiel04_Auswärts,Spiel05_Heim,Spiel05_Auswärts,Spiel06_Heim,Spiel06_Auswärts,Spiel07_Heim,Spiel07_Auswärts,Spiel08_Heim,Spiel08_Auswärts,Spiel09_Heim,Spiel09_Auswärts,Spiel10_Heim,Spiel10_Auswärts,Spiel11_Heim,Spiel11_Auswärts,Spiel12_Heim,Spiel12_Auswärts,Spiel13_Heim,Spiel13_Auswärts,BL,BL2,DFBP,DL_sonstige,ENG,ITA,ESP,Laenderspiele,International_Club,sonstige,Los_01,Los_02,Los_03,Los_04,Los_05,Los_06,Los_07,Los_08,Los_09,Los_10,Los_11,Los_12,Los_13
277,21.11.2009,3,4,3,6,3,1,5,3,2,4,3,3,5,3,2,3,3,4,4,3,3,2,3,5,4,3,3,3,5,2,3,4,3,3,3,4,2,3,5,51.42,26.97,21.61,66.56,21.47,11.97,63.84,22.5,13.66,61.38,24.02,14.6,63.32,22.92,13.76,25.49,27.51,47,44.74,28.08,27.18,21.83,26.99,51.18,55.45,25.88,18.67,48.54,26.73,24.73,41.63,28.17,30.2,29.52,28.09,42.39,16.43,25.8,57.77,0,2,2,0,1,2,2,2,0,2,1,1,1,647141.5,0,80892.6,1,80892.6,19,4257.5,179,451.9,Bayern München,Bayer Leverkusen,Hamburger SV,VfL Bochum,VfL Wolfsburg,1. FC Nürnberg,VfB Stuttgart,Hertha BSC Berlin,FC Schalke 04,Hannover 96,1. FC Köln,1899 Hoffenheim,Eintracht Frankfurt,Borussia Mönchengladbach,SC Freiburg,Werder Bremen,Borussia Dortmund,1. FSV Mainz 05,SpVgg Greuther Fürth,MSV Duisburg,FC Augsburg,FC St. Pauli,TuS Koblenz,Alemannia Aachen,FC Sunderland,Arsenal London,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,28.11.2009,3,5,2,5,3,2,3,4,3,3,4,3,3,5,2,2,5,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,56.93,23.9,19.17,52.89,26.67,20.44,32.65,28.47,38.88,46.57,27.86,25.57,55.66,25.34,19,49.8,27.14,23.06,26.72,28.41,44.87,19.01,25.98,55.01,51.38,26.51,22.11,51.7,26.44,21.86,40.04,28.42,31.54,34.02,29.45,36.53,57.46,26.69,15.85,0,1,0,2,2,2,1,2,1,1,0,2,1,759604,0,175843.1,14,6782.1,308,308.2,3043,31.2,Werder Bremen,VfL Wolfsburg,Bayer Leverkusen,VfB Stuttgart,1. FSV Mainz 05,Hamburger SV,Hertha BSC Berlin,Eintracht Frankfurt,1899 Hoffenheim,Borussia Dortmund,1. FC Nürnberg,SC Freiburg,Borussia Mönchengladbach,FC Schalke 04,Hannover 96,Bayern München,Energie Cottbus,Rot-Weiß Oberhausen,FC St. Pauli,1. FC Union Berlin,1860 München,Fortuna Düsseldorf,Arsenal London,Chelsea London,Inter Mailand,AC Florenz,8,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,05.12.2009,2,3,5,3,4,3,5,3,2,1,3,6,5,3,2,4,3,3,4,3,3,2,5,3,3,4,3,3,4,3,3,4,3,4,3,3,3,4,3,21.96,27.75,50.29,42.31,27.96,29.73,67.23,21.29,11.48,17.54,25.12,57.34,66.96,20.56,12.48,57.2,25.77,17.03,64.63,22.32,13.05,42.45,28.77,28.78,38,28.67,33.33,39.63,28.42,31.95,29.15,28.26,42.59,59.84,25.66,14.5,36.33,30.43,33.24,0,0,1,0,0,1,0,1,2,2,2,1,1,964113,1,296357.2,37,3257.1,465,259.1,3933,30.6,Hannover 96,Bayer Leverkusen,Hamburger SV,1899 Hoffenheim,FC Schalke 04,Hertha BSC Berlin,1. FC Köln,Werder Bremen,VfL Wolfsburg,SC Freiburg,Borussia Dortmund,1. FC Nürnberg,VfB Stuttgart,VfL Bochum,Eintracht Frankfurt,1. FSV Mainz 05,Rot-Weiß Oberhausen,1860 München,SC Paderborn,MSV Duisburg,Rot-Weiß Ahlen,Karlsruher SC,AC Mailand,Sampdoria Genua,Juventus Turin,Inter Mailand,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,12.12.2009,4,3,3,2,3,5,4,3,3,4,3,3,3,4,3,2,5,3,5,3,2,3,5,2,5,3,2,6,2,2,5,3,2,3,4,3,6,3,1,52.52,26.86,20.62,11.68,21.47,66.85,62.57,23.46,13.97,44.92,28.23,26.85,41.07,28.72,30.21,26.71,28.34,44.95,32.91,28,39.09,47.09,27.65,25.26,55.37,26.43,18.2,59.66,24.34,16,57.29,25.63,17.08,44.61,28.18,27.21,75.99,16.98,7.03,2,2,0,1,0,2,0,2,0,0,1,2,0,691742,0,86467.7,4,21616.9,65,1330.2,738,117.1,Werder Bremen,FC Schalke 04,VfL Bochum,Bayern München,1899 Hoffenheim,Eintracht Frankfurt,Borussia Mönchengladbach,Hannover 96,SC Freiburg,1. FC Köln,1. FC Nürnberg,Hamburger SV,1. FSV Mainz 05,VfB Stuttgart,VfL Wolfsburg,Borussia Dortmund,Arminia Bielefeld,1. FC Union Berlin,FC St. Pauli,SpVgg Greuther Fürth,Fortuna Düsseldorf,Rot-Weiß Oberhausen,FC Liverpool,Arsenal London,Chelsea London,FC Everton,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,19.12.2009,5,3,2,2,5,3,6,2,2,5,3,2,4,3,3,3,4,3,2,5,3,3,4,3,2,3,5,4,3,3,2,3,5,2,3,5,2,3,5,64.55,22.4,13.05,37.49,28.67,33.84,79.44,14.22,6.34,64.83,22.38,12.79,52.28,26.74,20.98,31.77,27.63,40.6,43.23,28.04,28.73,45.16,28.51,26.33,23.74,27.4,48.86,44.5,28.08,27.42,29,28.11,42.89,18.15,26.87,54.98,11.05,20.55,68.4,1,1,1,1,2,0,1,1,0,0,1,1,0,822041.5,1,189222.8,25,4110.2,393,261.4,3286,31.2,Bayer Leverkusen,Borussia Mönchengladbach,Hamburger SV,Werder Bremen,Bayern München,Hertha BSC Berlin,Borussia Dortmund,SC Freiburg,Hannover 96,VfL Bochum,Eintracht Frankfurt,VfL Wolfsburg,VfB Stuttgart,1899 Hoffenheim,1. FC Köln,1. FC Nürnberg,Rot-Weiß Oberhausen,Arminia Bielefeld,1. FC Union Berlin,1860 München,SC Paderborn,FC St. Pauli,FC Fulham,Manchester United,West Ham United,Chelsea London,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,26.12.2009,3,4,3,2,3,5,4,3,3,4,3,3,3,4,3,3,5,2,4,3,3,5,3,2,5,3,2,3,3,4,5,3,2,3,4,3,3,3,4,55.69,25.78,18.53,9.84,19.97,70.19,74.09,17.49,8.42,64.45,23.47,12.08,39.69,28.95,31.36,42.11,28.72,29.17,39.4,28.97,31.63,78.85,14.43,6.72,55.25,26.37,18.38,32.98,29.06,37.96,45.15,28.35,26.5,35.79,28.97,35.24,23.1,27.24,49.66,1,2,1,1,0,0,1,1,0,2,2,0,2,363222,8,5675.3,294,154.4,6730,6.7,23892,1.9,Arsenal London,Aston Villa,Hull City,Manchester United,FC Liverpool,Wolverhampton Wand.,Manchester City,Stoke City,FC Sunderland,FC Everton,Wigan Athletic,Blackburn Rovers,Leicester City,Sheffield United,Celtic Glasgow,Hamilton Academical,Dundee United,FC Kilmarnock,FC Falkirk,Heart of Midlothian,FC Motherwell,FC St. Johnstone,FC St. Mirren,FC Aberdeen,Hibernian Edinburgh,Glasgow Rangers,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
283,02.01.2010,6,3,1,2,3,5,4,3,3,6,2,2,3,4,3,3,3,4,2,3,5,3,3,4,6,3,1,5,3,2,3,4,3,5,3,2,4,3,3,58.73,25.02,16.25,17.49,24.45,58.06,47.8,27.6,24.6,81,13.4,5.6,38.5,28.61,32.89,20.98,26.79,52.23,12.13,20.95,66.92,35.07,28.22,36.71,68.15,20.72,11.13,53.64,26.97,19.39,45.25,28.21,26.54,65.19,22.09,12.72,40.21,28.27,31.52,1,2,1,1,0,2,0,1,0,1,1,1,0,449531,4,14047.8,190,295.7,2980,18.8,23115,2.4,Aston Villa,Blackburn Rovers,West Ham United,Arsenal London,Wigan Athletic,Hull City,Chelsea London,FC Watford,Nottingham Forest,Birmingham City,FC Middlesbrough,Manchester City,Reading FC,FC Liverpool,Atletico Madrid,FC Sevilla,FC Barcelona,FC Villarreal,CF Getafe,Real Valladolid,RCD Mallorca,Athletic Bilbao,FC Valencia,Espanyol Barcelona,Celtic Glasgow,Glasgow Rangers,0,0,0,0,7,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,09.01.2010,7,2,1,5,3,2,5,3,2,4,3,3,4,3,3,2,3,5,6,2,2,4,3,3,5,3,2,4,3,3,4,3,3,3,3,4,5,3,2,77.86,15.45,6.69,51.79,27.65,20.56,59.95,25.14,14.91,55.04,27.44,17.52,42.94,29.53,27.53,15.63,25.57,58.8,68.53,20.77,10.7,38.26,29.06,32.68,51.42,28.52,20.06,40.85,28.74,30.41,53.15,26.88,19.97,26.32,28.73,44.95,44.75,29,26.25,1,1,1,1,0,0,0,2,0,0,1,2,1,405563,0,50695.3,76,667,1085,46.7,8761,5.7,Inter Mailand,AC Siena,SSC Neapel,Sampdoria Genua,AS Rom,AC Chievo Verona,AC Florenz,AS Bari,Udinese Calcio,Lazio Rom,Birmingham City,Manchester United,Arsenal London,FC Everton,FC Burnley,Stoke City,FC Fulham,FC Portsmouth,FC Liverpool,Tottenham Hotspur,West Ham United,Wolverhampton Wand.,Wigan Athletic,Aston Villa,FC Sunderland,Bolton Wanderers,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
285,16.01.2010,6,3,1,5,3,2,6,3,1,4,3,3,3,3,4,4,3,3,3,4,3,3,3,4,5,3,2,3,3,4,5,3,2,5,3,2,2,3,5,66.93,21.44,11.63,67.74,21.3,10.96,67.31,21.07,11.62,42.77,27.96,29.27,23.05,26.75,50.2,51.39,27.11,21.5,43.31,28.08,28.61,28.84,28.75,42.41,47.78,27.69,24.53,31.24,28.37,40.39,61.71,23.92,14.37,77.06,15.88,7.06,14.87,23.81,61.32,1,1,1,2,1,2,1,2,1,0,1,1,2,715793,124,1130.3,2222,40.2,18620,4.8,89284,1,Bayer Leverkusen,1. FSV Mainz 05,FC Schalke 04,1. FC Nürnberg,Hamburger SV,SC Freiburg,Hannover 96,Hertha BSC Berlin,Eintracht Frankfurt,Werder Bremen,Borussia Mönchengladbach,VfL Bochum,VfB Stuttgart,VfL Wolfsburg,1. FC Köln,Borussia Dortmund,FC Augsburg,Energie Cottbus,TuS Koblenz,1860 München,MSV Duisburg,FSV Frankfurt,Chelsea London,FC Sunderland,Bolton Wanderers,Arsenal London,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,23.01.2010,3,4,3,2,3,5,3,3,4,3,5,2,4,3,3,3,3,4,3,3,4,5,3,2,2,3,5,5,3,2,4,2,4,4,3,3,3,4,3,31.58,28.51,39.91,22.02,27.27,50.71,30.88,28.26,40.86,38.7,28.55,32.75,47.25,27.93,24.82,42.6,28.57,28.83,48.71,27.43,23.86,63.07,23.1,13.83,25.33,27.86,46.81,66.23,21.77,12,47.61,27.82,24.57,39.72,29.75,30.53,49.77,28.52,21.71,2,0,2,1,1,0,0,2,2,1,2,2,2,641350,0,80168.7,11,7288,131,611.9,1306,61.3,Werder Bremen,Bayern München,VfL Bochum,FC Schalke 04,1899 Hoffenheim,Bayer Leverkusen,Borussia Dortmund,Hamburger SV,1. FSV Mainz 05,Hannover 96,1. FC Nürnberg,Eintracht Frankfurt,Hertha BSC Berlin,Borussia Mönchengladbach,VfL Wolfsburg,1. FC Köln,Rot-Weiß Oberhausen,FC Augsburg,Arminia Bielefeld,TuS Koblenz,Karlsruher SC,SC Paderborn,Juventus Turin,AS Rom,Udinese Calcio,Sampdoria Genua,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,30.01.2010,6,3,1,3,3,4,4,3,3,3,5,2,3,4,3,4,3,3,3,4,3,6,3,1,3,4,3,4,3,3,5,3,2,2,2,6,3,5,2,79.65,14.22,6.13,24.61,27.19,48.2,45.12,28.52,26.36,50.12,27.4,22.48,44.27,28.61,27.12,54.85,26.58,18.57,43.38,28.14,28.48,75.07,16.76,8.17,42.47,28.23,29.3,42.4,28.35,29.25,57.88,25.44,16.68,8.23,18.3,73.47,39.2,29.23,31.57,1,1,2,0,2,1,1,1,1,2,2,2,2,769770,0,176389.9,23,4183.5,481,200,4522,21.2,Bayern München,1. FSV Mainz 05,Borussia Mönchengladbach,Werder Bremen,Eintracht Frankfurt,1. FC Köln,Hertha BSC Berlin,VfL Bochum,Hannover 96,1. FC Nürnberg,FC Schalke 04,1899 Hoffenheim,VfB Stuttgart,Borussia Dortmund,Bayer Leverkusen,SC Freiburg,Rot-Weiß Ahlen,Rot-Weiß Oberhausen,Karlsruher SC,1860 München,SC Paderborn,FSV Frankfurt,FC Burnley,Chelsea London,Arsenal London,Manchester United,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
288,06.02.2010,2,3,5,2,3,5,2,3,5,2,3,5,4,3,3,2,3,5,3,4,3,5,3,2,2,3,5,4,3,3,4,3,3,3,4,3,4,3,3,16.2,24.91,58.89,20.58,27.28,52.14,19.36,25.19,55.45,26.9,28.19,44.91,60.96,24.32,14.72,27.03,28.51,44.46,40.19,28.81,31,57.45,25.95,16.6,28.53,28.35,43.12,40.22,28.64,31.14,63.65,23.3,13.05,46.76,28.31,24.93,52.01,27.21,20.78,0,0,2,0,1,2,1,2,0,1,1,0,1,961782.5,2,148306.3,133,903.9,1875,64.1,14073,8.5,VfL Bochum,Bayer Leverkusen,SC Freiburg,FC Schalke 04,VfL Wolfsburg,Bayern München,1. FC Köln,Hamburger SV,1899 Hoffenheim,Hannover 96,1. FC Nürnberg,VfB Stuttgart,1. FSV Mainz 05,Borussia Mönchengladbach,Borussia Dortmund,Eintracht Frankfurt,FSV Frankfurt,Alemannia Aachen,Fortuna Düsseldorf,MSV Duisburg,1. FC Kaiserslautern,SC Paderborn,Tottenham Hotspur,Aston Villa,Chelsea London,Arsenal London,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,13.02.2010,5,3,2,5,3,2,4,3,3,4,3,3,3,4,3,3,3,4,3,5,2,5,3,2,4,3,3,3,5,2,4,3,3,4,3,3,4,3,3,69.71,19.54,10.75,59.32,23.61,17.07,61.61,24.33,14.06,42.44,28.43,29.13,30.83,28.56,40.61,19.18,25,55.82,49.17,27.47,23.36,52.64,26.77,20.59,48.25,27.43,24.32,34.24,28.63,37.13,50.89,27.32,21.79,37.83,30.26,31.91,56.42,26.76,16.82,1,1,1,2,1,2,0,1,2,0,1,1,1,633190,42,1884.4,1124,70.4,11067,7.1,56935,1.3,Bayern München,Borussia Dortmund,Bayer Leverkusen,VfL Wolfsburg,FC Schalke 04,1. FC Köln,VfB Stuttgart,Hamburger SV,VfL Bochum,1899 Hoffenheim,Hannover 96,Werder Bremen,Hertha BSC Berlin,1. FSV Mainz 05,Eintracht Frankfurt,SC Freiburg,SpVgg Greuther Fürth,1860 München,TuS Koblenz,Hansa Rostock,FC Augsburg,Fortuna Düsseldorf,Sampdoria Genua,AC Florenz,Juventus Turin,CFC Genua 1893,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,20.02.2010,3,4,3,2,3,5,2,2,6,3,3,4,5,3,2,5,3,2,3,5,2,3,4,3,2,5,3,3,3,4,2,5,3,2,3,5,3,4,3,42.25,28.34,29.41,37.26,28.61,34.13,11.74,20.61,67.65,30.71,28.91,40.38,66.46,21.49,12.05,61.69,23.86,14.45,45.46,28.38,26.16,36.87,28.82,34.31,31.39,28.83,39.78,28.63,28.29,43.08,45.92,28.23,25.85,10,20.38,69.62,34.62,29.43,35.95,0,1,0,2,1,0,0,2,1,2,2,2,0,643642.5,0,80455.3,8,10056.9,214,375.9,2213,36.3,Werder Bremen,Bayer Leverkusen,VfL Wolfsburg,FC Schalke 04,1. FC Nürnberg,Bayern München,1. FC Köln,VfB Stuttgart,Borussia Dortmund,Hannover 96,Hamburger SV,Eintracht Frankfurt,1. FSV Mainz 05,VfL Bochum,SC Freiburg,Hertha BSC Berlin,FSV Frankfurt,Karlsruher SC,Rot-Weiß Oberhausen,SpVgg Greuther Fürth,Energie Cottbus,SC Paderborn,Wolverhampton Wand.,Chelsea London,Manchester City,FC Liverpool,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,27.02.2010,5,3,2,5,3,2,3,4,3,3,3,4,4,3,3,4,3,3,4,3,3,2,5,3,4,3,3,2,4,4,3,3,4,2,5,3,2,3,5,64.13,22.4,13.47,69.93,19.85,10.22,37.56,28.68,33.76,24.8,27.26,47.94,58.47,25.29,16.24,55.06,26.14,18.8,42.74,28.72,28.54,22.76,25.84,51.4,46.4,27.73,25.87,27.92,28.08,44,29.23,28.59,42.18,39.5,30.1,30.4,26.05,29.5,44.45,1,0,2,2,1,0,0,2,2,2,1,0,2,816555,1,182524.6,70,1458.1,903,113,7141,14.2,Bayern München,Hamburger SV,Bayer Leverkusen,1. FC Köln,Hertha BSC Berlin,1899 Hoffenheim,1. FSV Mainz 05,Werder Bremen,VfB Stuttgart,Eintracht Frankfurt,Borussia Mönchengladbach,SC Freiburg,VfL Bochum,1. FC Nürnberg,Hannover 96,VfL Wolfsburg,FC St. Pauli,Arminia Bielefeld,Karlsruher SC,1. FC Kaiserslautern,Rot-Weiß Ahlen,1. FC Union Berlin,SSC Neapel,AS Rom,Udinese Calcio,Inter Mailand,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,06.03.2010,2,3,5,1,4,5,3,4,3,5,3,2,3,4,3,6,2,2,3,5,2,3,5,2,4,3,3,3,4,3,2,4,4,5,3,2,4,3,3,12.97,23.17,63.86,18.46,26.05,55.49,30.56,29.13,40.31,56.09,26.24,17.67,47,27.51,25.49,63.65,23.28,13.07,40.4,28.57,31.03,63.68,22.71,13.61,57.2,25.56,17.24,39.69,28.53,31.78,33.63,28.63,37.74,56.97,25.35,17.68,40.17,29.44,30.39,0,1,2,1,0,1,2,1,2,2,1,1,0,701587.5,2,43849.2,36,2436,564,155.4,5068,17.3,1. FC Köln,Bayern München,1. FC Nürnberg,Bayer Leverkusen,Eintracht Frankfurt,FC Schalke 04,Borussia Dortmund,Borussia Mönchengladbach,Werder Bremen,VfB Stuttgart,Hamburger SV,Hertha BSC Berlin,SC Freiburg,Hannover 96,VfL Wolfsburg,VfL Bochum,1899 Hoffenheim,1. FSV Mainz 05,1. FC Union Berlin,MSV Duisburg,1860 München,FC St. Pauli,FC Augsburg,SC Paderborn,AS Rom,AC Mailand,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,13.03.2010,4,3,3,6,2,2,3,4,3,3,3,4,3,4,3,3,3,4,3,4,3,3,3,4,6,2,2,4,3,3,5,3,2,5,3,2,6,3,1,45.62,28.33,26.05,81.57,13.29,5.14,36.44,28.22,35.34,24.18,27.84,47.98,43.34,28.55,28.11,38.83,28.45,32.72,45.55,28.22,26.23,33.77,28.37,37.86,62.98,23.44,13.58,63.17,23,13.83,47.35,27.9,24.75,77.31,16.15,6.54,77.91,15.84,6.25,1,1,2,2,1,1,2,2,1,1,0,1,1,687505.5,204,421.2,4354,19.7,30213,2.8,105942,0.8,Bayer Leverkusen,Hamburger SV,Bayern München,SC Freiburg,Borussia Mönchengladbach,VfL Wolfsburg,VfL Bochum,Borussia Dortmund,1. FSV Mainz 05,1. FC Köln,Hannover 96,Eintracht Frankfurt,Hertha BSC Berlin,1. FC Nürnberg,1899 Hoffenheim,Werder Bremen,1. FC Kaiserslautern,Energie Cottbus,FC St. Pauli,Rot-Weiß Oberhausen,SC Paderborn,Hansa Rostock,Chelsea London,West Ham United,Manchester United,FC Fulham,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,20.03.2010,3,3,4,3,4,3,2,5,3,4,3,3,6,3,1,5,3,2,2,5,3,5,3,2,5,1,4,3,4,3,4,3,3,4,3,3,3,3,4,12.88,22.09,65.03,35.28,29.04,35.68,40.16,28.96,30.88,36.22,29.04,34.74,65.67,21.79,12.54,68.48,20.13,11.39,39.33,28.62,32.05,61.84,22.83,15.33,35.46,28.81,35.73,43.2,28.36,28.44,48.9,27.76,23.34,53.8,27.29,18.91,28.06,29.66,42.28,1,1,0,0,1,1,1,2,1,0,1,1,0,633875.5,0,79234.4,27,2934.6,611,129.6,5648,14,Eintracht Frankfurt,Bayern München,Borussia Dortmund,Bayer Leverkusen,Hamburger SV,FC Schalke 04,1. FC Nürnberg,1899 Hoffenheim,VfB Stuttgart,Hannover 96,Werder Bremen,VfL Bochum,SC Freiburg,1. FSV Mainz 05,VfL Wolfsburg,Hertha BSC Berlin,Rot-Weiß Oberhausen,Karlsruher SC,1. FC Union Berlin,Alemannia Aachen,1860 München,FSV Frankfurt,Manchester United,FC Liverpool,US Palermo,Inter Mailand,8,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,27.03.2010,4,3,3,3,4,3,3,3,4,2,5,3,2,3,5,4,3,3,5,3,2,3,4,3,5,3,2,3,3,4,5,3,2,3,3,4,5,3,2,58.56,24.59,16.85,43.78,28.74,27.48,28.9,28.54,42.56,33.3,28.19,38.51,29.68,28.26,42.06,42.45,28.51,29.04,67.74,20.55,11.71,57.75,25.15,17.1,59.59,24.57,15.84,34.91,28.81,36.28,55.65,25.73,18.62,14.8,24.55,60.65,68.12,20.7,11.18,2,2,1,2,0,2,1,0,1,1,1,0,1,745333,0,172401,26,3583.3,320,291.1,2755,33.8,Bayern München,VfB Stuttgart,Bayer Leverkusen,FC Schalke 04,Borussia Mönchengladbach,Hamburger SV,1. FSV Mainz 05,VfL Wolfsburg,Hertha BSC Berlin,Borussia Dortmund,Hannover 96,1. FC Köln,Werder Bremen,1. FC Nürnberg,1899 Hoffenheim,SC Freiburg,SpVgg Greuther Fürth,Rot-Weiß Ahlen,Alemannia Aachen,FC Augsburg,FC St. Pauli,Hansa Rostock,Birmingham City,Arsenal London,Chelsea London,Aston Villa,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,03.04.2010,3,4,3,2,5,3,3,4,3,5,3,2,3,5,2,4,3,3,3,4,3,4,3,3,5,3,2,2,3,5,5,3,2,3,4,3,4,3,3,34.86,28.94,36.2,27.72,27.88,44.4,46.02,27.89,26.09,65.21,22.05,12.74,47.03,27.94,25.03,38.56,28.56,32.88,51.54,26.49,21.97,39.09,28.13,32.78,65.99,21.7,12.31,22.02,27.44,50.54,56.29,25.5,18.21,43.69,28.37,27.94,42.97,28.16,28.87,2,1,0,1,1,2,1,1,0,1,0,1,1,911606,1,286351.7,66,1726.5,926,123,6995,16.2,FC Schalke 04,Bayern München,Eintracht Frankfurt,Bayer Leverkusen,SC Freiburg,VfL Bochum,VfB Stuttgart,Borussia Mönchengladbach,1. FC Nürnberg,1. FSV Mainz 05,1. FC Köln,Hertha BSC Berlin,VfL Wolfsburg,1899 Hoffenheim,Borussia Dortmund,Werder Bremen,Hamburger SV,Hannover 96,Rot-Weiß Oberhausen,1. FC Kaiserslautern,FC Augsburg,SpVgg Greuther Fürth,Hansa Rostock,Alemannia Aachen,TuS Koblenz,SC Paderborn,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,10.04.2010,3,3,4,2,3,5,2,3,5,2,3,5,4,3,3,5,3,2,3,3,4,3,4,3,4,3,3,3,5,2,4,3,3,2,3,5,3,4,3,29.55,27.87,42.58,17.97,25.64,56.39,22.74,27.01,50.25,35.51,28.15,36.34,53.44,26.27,20.29,72.27,18.34,9.39,26.36,27.77,45.87,34.73,27.91,37.36,49.15,27.34,23.51,44.42,28.25,27.33,46.26,28.24,25.5,13.25,23.09,63.66,14.97,23.37,61.66,0,1,1,2,2,1,2,2,0,1,1,0,2,655554,0,81944.2,10,8194.4,142,577,1318,62.1,Bayer Leverkusen,Bayern München,Hannover 96,FC Schalke 04,1. FSV Mainz 05,Borussia Dortmund,Hertha BSC Berlin,VfB Stuttgart,1899 Hoffenheim,1. FC Köln,Werder Bremen,SC Freiburg,VfL Bochum,Hamburger SV,1. FC Nürnberg,VfL Wolfsburg,MSV Duisburg,SpVgg Greuther Fürth,FSV Frankfurt,Rot-Weiß Oberhausen,Karlsruher SC,Hansa Rostock,Blackburn Rovers,Manchester United,Aston Villa,Chelsea London,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
